Regiones,Fecha,Year,Num_mes,Latitud,Longitud,Altura,Variedad,Fenologia,Hojas Evaluadas,Hojas con Roya,Incidencia,Cat_Variedad
NUEVA SEGOVIA,5/29/2019,2019,5,13.78269958,-86.56890106,1300,CATIMOR,Floraci¢n Principal,1151,13,1.13,Resistentes
NUEVA SEGOVIA,12/13/2019,2019,12,13.9289999,-86.14759827,1167,CATIMOR,Madurez Fisiol¢gica,1056,79,7.48,Resistentes
NUEVA SEGOVIA,5/29/2019,2019,5,13.76945782,-86.56784058,1260,CATIMOR,Floraci¢n Principal,857,0,0,Resistentes
NUEVA SEGOVIA,11/13/2019,2019,11,13.9289999,-86.14759827,1167,CATIMOR,Madurez Fisiol¢gica,991,124,12.51,Resistentes
NUEVA SEGOVIA,07/09/2019,2019,7,13.9289999,-86.14759827,1167,CATIMOR,Fruto Consistente,1126,36,3.2,Resistentes
JINOTEGA,09/10/2019,2019,9,13.133644,-86.010026,973,CATUAI CATURRA,Madurez Fisiol¢gica,1002,0,0,Susceptibles
MATAGALPA,9/13/2019,2019,9,13.126823,-85.754953,789,CATUAI CATURRA,Fruto Consistente,730,29,3.97,Susceptibles
MASAYA,11/07/2019,2019,11,11.884319,-86.121207,462,CATUAI CATURRA,Madurez Fisiol¢gica,755,0,0,Susceptibles
MASAYA,8/30/2019,2019,8,11.884319,-86.121207,462,CATUAI CATURRA,Fruto Consistente,776,9,1.16,Susceptibles
MASAYA,9/30/2019,2019,9,11.884319,-86.121207,462,CATUAI CATURRA,Fruto Consistente,793,10,1.26,Susceptibles
JINOTEGA,12/04/2019,2019,12,13.133644,-86.010026,973,CATUAI CATURRA,Madurez Fisiol¢gica,852,0,0,Susceptibles
JINOTEGA,3/29/2019,2019,3,13.133644,-86.010026,973,CATUAI CATURRA,Hojas Nuevas Mayor al 30%,714,3,0.42,Susceptibles
